,title,company,location,industry,description,seniority,employment_type,functions
0,Data Analyst,Study.com,"100 View Street Suite 202, Mountain View, CA 94041, US",E-Learning,"About the Data Analyst PositionAs a technology leader, we have high-traffic websites and store massive amounts of data that we need to slice and dice every day. We are looking for a Data Analyst that will be part of a growing, world-class team supporting our account management and site optimization groups. The ideal candidate for the Data Analyst role will be a key resource for analytic best practices within Study.com and for analyzing and querying data in a fast-paced Internet business environment. The Data Analyst must be passionate about digging into data and understanding the stories the data are telling. You will be equally passionate about helping others solve problems, gain insights, and make decisions using data. Responsibilities: Ownership (with your team) of all data used for analytics, including millions of events coming through a Kafka queue each day, a 15 TB relational data warehouse, and integration with Google BigQuery.Master the structure of Study.com’s data and the metrics that drive the businessPerform ad hoc analyses and data extraction requestsExtract insights from data to improve the efficiency of our sites and our advertisement systemActively build processes and tools to make data more accessibleDrive the monitoring, analysis, and improvement of website and campaign performanceWork in a cross-functional team to implement data-driven plans designed to maximize ROITeach others how to use data effectivelyRequirements: A passion for learning and a willingness to pick up whatever you need to to get the job done4+ years' experience in a data analyst role, experience with web analytics is a plusSolid MySQL/SQL experience or other related databasesSolid experience in Excel for data analysis and visualizationStrong analytical skills and ability to draw conclusions based on dataComfortable working in a fast-paced, dynamic environment while juggling multiple projectsBS in Mathematics, Statistics, Computer Science, Operations Research, or similar fieldsGood interpersonal communication and presentation skillsSelf-motivated, detail-oriented and passionatePreferred Qualifications: Reporting and Business Intelligence experience (Tableau, QlikView, Microstrategy, etc)Proficient in using statistical software (R, MATLAB, SAS, etc.)Hands-on experience with advanced statistical concepts, such as cluster analysis, singular value decomposition, stochastic gradient descent, and Bayesian methodsExperience using an ETL tool (Pentaho, Talend, SSIS, etc.) on large datasets (terabytes in size)Knowledge of web analytics software and best practicesExcellent programming knowledge in a scripting language such as Groovy, Python, Perl, or in a compiled language such as Java or C++Higher degrees such as Masters or PhD",Mid-Senior level,Full-time,"

              Analyst
 

              Strategy/Planning
 

              Research
 
"
1,Senior Data Scientist,Veeva Systems,"Pleasanton, CA, US","Computer,Software,Information,Technology,Services,Pharmaceuticals","DescriptionOur CompanyAt 2,200 employees and growing, and consistently strong financials (NYSE:VEEV), Veeva was named among the top fastest growing public technology companies on Forbes’ annual Fast Tech 25 list. We build innovative cloud solutions for some of the world’s largest pharmas and biotechs, and we need great people like you to make it happen.Our Culture & PeopleOur core values are Employee Success, Customer Success, and Speed. We are innovators, collaborators, and thought leaders out to create best-in-class solutions that help our customers improve and extend human life. It’s genuine, straight-forward, and no fuss.Job SummaryWe’re looking for a Senior Data Scientist to join our growing analytics team, to help us deliver next generation analytics for our Veeva Life Science customers. Our ideal candidate is statistician / data wrangler / data flow architect that can to scour Life Sciences + Commercial content to derive insights to delight Veeva customers.As a senior member of our analytics team, you will work side by side with other analytically focused developers, product managers, architects and analysts, to deliver new suites of applications and architectures for our Veeva Life Science customers. If you relish data challenges, play well on smart teams, enjoy ripping through a wide range of tools to find the needle in the haystack, and are looking for an opportunity to work with a fast growing company – let’s talk!What will your day look like?Work with large, complex data sets. Develop models to solve difficult, non-routine analysis problems, applying advanced analytical methods as needed. Conduct end-to-end analysis that includes data gathering and requirements specification, processing, analysis, ongoing deliverables, and presentations.Build and prototype analysis pipelines iteratively to provide insights at scale. Develop comprehensive understanding of Veeva data structures and activities to derive metrics, advocating for changes where needed for both products development and sales activity.Develop new techniques to identify Pharmaceutical Industry trends, to help customers gain broader market perspectiveCombine your love and knowledge of quantitative data analysis across large data sets with solid presentation skills to help stakeholders make market and product decisions.Give commercial leadership visibility to behavioral and demographic trends in industry sales teams. Qualities We ValueOrganized mind that translates complex stat into concise presentationsTrusted collaborative demeaner. Curiosity to help explore answers to questions that haven’t been asked yetMinimum QualificationsBS in Quantitative Field (Stat, Math, Computer Science, Stat, or Engineering)5+ years experience with enterprise data technologies, large scale DB management, ETL pipelines, streaming models. 3+ years experience in data science, or experience in a suitable advanced analytic domain (analytic-driven research, market analysis, etc.)Good knowledge of R or Python – bonus points for data analytics packages such as PySpark + MLLib.Good understanding of high performance Machine Learning techniques such as: classification, clustering, deep learning, fuzzy matching, sentiment analysisAdvanced data manipulation skills (Web Scraping, Text Mining)Preferred QualificationsDeep hands on experience with statistical data analysis such as linear models, multivariate analysis, stochastic models, sampling methods.Applied experience with machine learning on large datasets.Experience working in SaaS cloud based world, tools, and access models. Expertise working within an Agile development environment. Expertise working with Real-time Analytic environments, providing instant model feedback from high volume transactions.Experience with CRM and Salesforce data + experience with RedshiftFamiliarity with source control platforms, primarily GitHub, and data engineering & development best practices About VeevaVeeva is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, sex, sexual orientation, gender identity or expression, religion, national origin or ancestry, age, disability, marital status, pregnancy, protected veteran status, protected genetic information, political affiliation, or any other characteristics protected by local laws, regulations, or ordinances.",Not Applicable,Full-time,"

              Engineering
 

              Information Technology
 
"
2,Data Scientist AI/ML,Adobe,"San Jose, CA, US","Marketing,Advertising,Information,Technology,Services,Computer,Software","The challengeAdobe Target powers the personalized experiences and recommendations for many household name-brand companies. Serving roughly a billion hits per day, Target is one of the most sophisticated users of data science in the entire Adobe Experience Cloud.The Adobe Target data science team is looking for an exceptional data scientist/machine learning expert to help drive the advancement of cutting-edge analysis, modeling, and recommendations algorithms. In this role, you will be asked to help find, analyze, and predict the patterns in the millions of records of web and mobile transaction data that we collect every day. You will also develop the models and algorithms that will make the decisions on what major Fortune 500 companies will present to their customers – often on their own home pages!The ideal candidate will have a deep knowledge of math, statistics, and computer science with an eye towards solving practical problems. We are looking for someone who is both well versed in the science of AI/ML and who is also excited about putting the science into practice.What You’ll DoAnalyze live and historical data to provide insightsResearch, prototype, and validate new models and algorithmsImplement machine-learning algorithms in a practical production settingInterface with other research teams across AdobeWork with consultants and customers to help them succeedWhat You Need To SucceedPh.D. in CS, Math, Stats, EE, Physics, or related quantitative fieldGood command of statistics, AI/machine learning/data mining models and algorithms including classification, regression, and deep learningStrong object-oriented programming skills.Ability to write production-quality code in Scala, Java, or PythonExperience with handling large data sets in distributed environments using Hadoop or SparkExperience with SciKit-Learn, Spark ML, Tensor Flow or related modeling toolsGood communication skills as evidenced by a record of talks and publicationsExperience in specialized areas such as optimization, recommendation systems, clustering, and marketing applications of data science is a plusAt Adobe, you will be immersed in an exceptional work environment that is recognized throughout the world on Best Companies lists. You will also be surrounded by colleagues who are committed to helping each other grow through our unique Check-In approach where ongoing feedback flows freely.If you’re looking to make an impact, Adobe's the place for you. Discover what our employees are saying about their career experiences on the Adobe Life blog and explore the meaningful benefits we offer.Adobe is an equal opportunity employer. We welcome and encourage diversity in the workplace regardless of race, gender, religion, age, sexual orientation, gender identity, disability or veteran status.",Entry level,Full-time,"

              Engineering
 

              Information Technology
 
"
3,Business Intelligence Data Analyst,Life Chiropractic College West,"Hayward, CA, US","Higher,Education,Education,Management,Hospital,&,Health,Care","PURPOSEThe Data Scientist, Manager of Business Intelligence (DS/MBI) performs College institutional effectiveness work by integrating data generated from campus-wide processes, work flows, and data sources. The incumbent conducts analyses of institutional data that inform decision-making and provides business intelligence and insights to the operational and educational activities of the institution. The Data Scientist, Manager of Business Intelligence provides the computer programming, data integration, and analytical reporting to support the quality assurance, data warehousing, and data mining efforts of the Institutional Research Department.CORE VALUESThe vision of Life West is to create a brighter future for humanity through graduating chiropractors who have a deep understanding of service, and of the innate potential of the human body to heal and adapt to its environment. The Doctor of Chiropractic program prepares graduates for personal and professional fulfilment in a climate of loving, serving and giving.RESPONSIBILITESThe DS/MBI is responsible for the technical support and computer programming that underpins the successful pursuit of the mission of the Institutional Research Department. The department’s mission is to support the College’s strategic and annual planning and to effect initiatives of continuous improvement. This is a central role in assuring the accuracy, quality, and credibility of the institutional data used in analyses of Business Intelligence and in compliance reporting to accrediting agencies and local, state, and federal governmental entities. The DS/MBI is responsible for data mining, data analysis, and data quality functions to support the interpretation of results and preparation of reports and dashboards for both internal and external dissemination. The effective communication of data and their analyses as usable information for the campus community is a key function of the Institutional Research Department and of this position. The DS/MBI will work cooperatively, collaboratively, and across all departments of the institution.The DS/MBI reports to the Director of Institutional Research and supports strategic and annual planning and departmental reviews of data collection, analyses, and associated processes.The DS/MBI works independently to develop computational programs and Application Program Interfaces (APIs) to query and integrate data from structured and unstructured sources. The DS/MBI develops digital tools for data collection, algorithms for data cleansing, scripts for statistical analyses, templates and macros for data visualization, and the reports and dashboards for publication. The DS/MBI consults with the Director of Institutional Research to set priorities and determine the need for special studies and analyses as appropriate.SKILLS & EXPERIENCE: EDUCATION & TRAINING REQUIREMENTSDesired Skills And Education Requirements Are Masters degree in Statistics, Computer Science, Education, or Business Administration Minimum of three year’s work experience with statistical software programs such as SPSS, SAS, SAP, and JMP Minimum of two year’s work experience with Business Intelligence solutions such as Microsoft PowerTools, Power BI, and cloud analytical environments Knowledge of, and demonstrated experience in, the response collection and data management of survey software products, such as of Qualtrics, Survey Monkey, EBI MapWorks-SkyFactor, and Question Pro Minimum of two years’ work experience in Institutional Research at a post-secondary college, university or institution of higher education Knowledge of, and demonstrated experience in, IT systems integration and computer programming applied to the integration of structured and unstructured data sources into centralized data hubs and data warehouses the compilation of data for the automation of reporting requirements predictive analytics and modeling related student and graduate success predictive analytics for business intelligence and decision-making data mining tools, data visualization, and analytical software the development of interactive dashboards Excellent communication skills—including but not limited to written reports and documented output from data analyses, verbal delivery of formal presentations to stakeholders conversations, exchanges in meetings (remotely bridged and face-to-face), and discussions with individuals, third party partners, consultants, and campus personnel Outstanding interpersonal skills and ability to work with personnel of technical and non-technical backgrounds Minimum of three years’ experience in research and data analytics design of research projects data acquisition research ethics data analysis formal reporting in oral presentations and written reports Knowledge of, and demonstrated experience in, the data management requirements of Quality Systems, including but not limited to Quality Control Quality Assurance Documentation of Training Data Monitoring Clarification of ErrorsPreferred Skills Are Demonstrated education and accomplishments in Statistics with application in Education, Business Intelligence, Planning, Continuous Improvement, and Compliance A resume of accomplishments in the higher education field of Measurement, Evaluation, Statistics and Assessment (MESA) Knowledge and experience in the assessment, evaluation, and analysis of Competency Based Education (CBE)PHYSICAL DEMANDS Nature of work requires an ability to operate standard business office equipment. Requires ability to communicate and exchange information, collect, compile and prepare work documents, set-up and maintain work files.Ethics Requirements Provide professional services with integrity Provide professional services objectively Maintain the knowledge and skill necessary to provide professional services competently Be fair and reasonable in all professional relationships. Disclose conflicts of interest Protect the confidentiality of all client information Act in a manner that demonstrates exemplary professional conduct Provide professional services diligentlyWORKING CONDITIONS Work performed in a general office, classroom and laboratory environment.This job description is not intended to be a complete list of all responsibilities, duties or skills required for the job and is subject to review and change at any time, with or without notice, in accordance with the needs of Life Chiropractic College West. Since no job description can detail all the duties and responsibilities that may be required from time to time in the performance of a job, duties and responsibilities that may be inherent in a job, reasonably required for its performance, or required due to the changing nature of the job shall also be considered part of the jobholder’s responsibility.Life Chiropractic College West, which offers a Doctor of Chiropractic degree, is internationally recognized for leadership and innovation in chiropractic education. The curriculum at Life West features an integrated emphasis on chiropractic philosophy and technique which draws passionate students from around the world. Life Chiropractic College West provides solid academic and clinical experience through our 12 and 14 quarter program options. The Life West learning community is known for its diversity, integrity and co-operative spirit.",Associate,Internship,"

              Business Development
 

              Sales
 
"
4,Data Scientist,Epic Creations AB,"Redwood City, CA, US","Marketing,Advertising,Online,Media,Internet","Responsibilities Analyze new products features and A/B tests for Epic education platform Explore our large data set to identify key insights on user behavior that will motivate future innovation Help understand our audience and to find metrics that best way to measure user engagement Present your research and insights to all levels and functions of the company, clearly and concisely Work with Product managers, designers & engineers to help understand the product and better design user experience Requirements An advanced degree in a quantitative or computational field (e.g., statistics, economics, math, computer science, etc.) and 2+ years of experience in quantitative analytics, data science, or another similar role Experience analyzing a live consumer digital product Coding proficiency in SQL, PHP (or similar coding language) Strong statistical knowledge and experience with A/B testing Comfort in a fast-paced, constantly evolving, deadline-driven environment. Great communication and interpersonal skillsBonus Passion for children’s education Professional experience with subscription products",Entry level,Full-time,"

              Engineering
 

              Information Technology
 
"
0,Data Analyst - I,Russell Tobin,"San Francisco, California","Education,Management","This is an Associate level role (required years of experience: 2 to 4 years) 4 months contract - Only W2we cannot sponsor now or in the future.Duties:Centralize data and support the customer analytics team to deliver world-class insights Perform all of the necessary data transformations to populate data into a warehouse table structure that is optimized for BI reporting Own data quality throughout all data life cycles, including acquisition, cleaning, processing, and validation Designing, integrating and documenting technical components for seamless data extraction and analysis on big data platform Develop and manage data pipelines at enterprise scale Interface with internal data consumers to understand data needs Collaborate with multiple teams and own the solution end-to-end Skills:3-4 years experience with SQL and relational databases (Oracle, AWS Redshift, Hive, etc) Great knowledge of data warehousing principles, schema design, data governance, data pipeline automation, and query + database tuning techniques with excellent debugging and troubleshooting skills Experience with DevOps tools (Git, JIRA etc.) You strive for continuous integration best practices Ability to automate data pulling and reporting processes Experience with visualization software such as Looker, Tableau or ClaraBridge Experience working with RESTful API and general service oriented architectures Fluency in Python or other scripting languages is a plus Education:Bachelor's degree in a highly quantitative field including data science, computer science, math, engineering, statistics, economics, and hard sciences",Associate,Contract,"

              Information Technology
 
"
1,NLP Data Scientist,GumGum,Santa Monica,"Information,Technology,Services,Marketing,Advertising,Online,Media","GumGum's Data Science team is working on a variety of cutting edge multilingual NLP problems such as Topic Detection, Sentiment Analysis, and Named Entity Recognition. We have an opening for an experienced NLP Data Scientist at our headquarters in Santa Monica, CA.We are looking for a Data Scientist with a degree in NLP, Machine Learning, or related field. The ideal candidate should possess expert knowledge as well as extensive experience working with textual data.Responsibilities:Work on a variety of NLP and Machine Learning projectsPerform hands-on Machine Learning tasks and statistical analyses with tools like SciKit-Learn, NumPy, and NLTKApply Deep Learning frameworks to a wide range of problemsOwn projects from their inception to production release (and beyond)Write efficient, clean, and maintainable Python codeHelp find, create, and evaluate multilingual corpora and integrate them into our workflowWork with your team members and members of other teams to implement scalable and maintainable cloud-based solutionsRequirements:Master's or PhD in NLP, Machine Learning, or related field> 3 years relevant professional experienceIntermediate knowledge of PythonExperience working on various NLP projectsStrong team player and capable of working on a variety of projectsStrong problem solving skillsFluent in English and advanced knowledge of at least one other languagePerksStock options 401k, great medical/dental plansUnlimited PTOGreat co-workers, monthly happy-hoursLocated in hotbed of tech startups, just blocks from the beach!",Mid-Senior level,Full-time,"

              Engineering
 

              Science
 
"
2,Lead Data Scientist,Activision,"Santa Monica, US-CA","Consumer,Goods","Data Scientist, Marketing AnalyticsWhat we’re looking for:Activision is actively investing in its audience capabilities in a way that will evolve the application of our data for use in product development, marketing, and monetization. We are looking for a thought-leader in analytical processes to lead this evolution.The Data Scientist, Marketing Analytics will work closely with Product, Marketing, Studios, Engineering and Technology organizations to deliver world-class advanced analytics analyses of marketing activities and estimating their impact on sales. These projects will include, but are not limited to, Media Mix Optimization, Analysis of Covariance (test & control), Cluster Analysis, Unsupervised and Supervised Learning, Attribution Modeling of disaggregate event-stream data. We have a tremendous amount of data on how gamers play our games. We need, however, an expert who has the passion, experience, skills and ability to turn that data into action.What you’ll do: Be the media measurement thought-leader and own the definition of KPI measuring, providing recommendations on new statistical/machine-learning approaches based on research and testing.Design, build, validate and socialize advanced attribution models to optimize media mixDevelop meaningful cluster analysis based on both supervised and unsupervised learning models, driving actionable segmentation recommendationsIntegrate with existing machine learning pipelines on propensity scoring and LTV projection to granularize the understanding of user journey and customer valueBuild and improve ETL pipelines in support of data aggregation, movement and analysisEstablish through testing and experimentation the right statistical approach to delivering analytics insightsProvide thoroughly documented work products to enable smooth operations in productionInterpret and visualize model estimates and diagnosticsWork with senior management to answer strategic business questions through the use of behavioral dataWhat you’ll bring: 5+ years of experience in database mining/marketing with very large, complex and multi-dimensional datasets.2+ years of direct experience working in ad-tech with a proven track record of media mix optimizationThorough understanding and ability to apply supervised and unsupervised learning models.Must be able to synthesize disparate data to mine and communicate insightsExcellent collaboration and communication skills with a proven track record of working across all levels of the organization.Experience with large individual customer behavioral data sets (gaming, retail, financial services) and expertise in communication channel best practices, including multi-channel marketing.Technical mastery in advanced database mining tools such as SQL and SAS/R/Python (any of the three) with the ability to coach and train others on best practice.Preferred experience working with Data Management Platforms, such as Adobe Audience ManagerGaming experience particularly with the Call of Duty franchise a strong plusExceptional data analysis in Excel including ability to write macros Ask anyone: Who works at Activision, or with Activision, their favorite thing about it, and they’ll tell you it’s the people. We have a rigorous hiring process and a rigorous talent planning process. Our success doesn’t come from assembly lines producing widgets. Our success comes from people producing greatness. So if you’re interested in our biggest priority, it’s the people. As a company, we have world class brands, infrastructure and resources. But we are nothing without the brilliance of our talented employees.What are you waiting for? For more details and to apply for this position, visit us at www.activision.com/careers Activision is an Equal Opportunity Employer. All qualified applicant will receive consideration for employment without regard to race, color, religion, sex, national origin or protected veteran status and will not be discriminated against on the basis of disability.Great Games Start with Great People",Mid-Senior level,Full-time,"

              Business Development
 
"
3,"Senior Data Scientist, PHC",Genentech,"South San Francisco, CA, US","Biotechnology,Pharmaceuticals","The PositionPosition SummaryAs a Senior DATA SCIENTIST within our Personalized HealthCare function you will work with meaningful data to generate impactful evidence and insights on our molecules/ medicines and patients, that support R&D, advance scientific and medical knowledge, and enable personalized patient care and access.You will collaborate with peers within the function and across the organization to develop evidence generation strategies, identify evidence gaps and data sources, design and execute studies, and implement analyses to address molecule and disease area questions. The data will be varied in type -- patient-level clinical data, supplemented with deep patient data such as omics (e.g. genomics, proteomic), imaging, digital health, etc. Source data will be diverse -- real-world data, including patient registries, electronic medical records, claims, biobanks, and clinical trials. The evidence and insights will be used to inform the research and development of our molecules, and support healthcare decisions by patients, physicians, health authorities, payers, and policy-makers. You will also contribute to functional, cross-functional, enterprise-wide or external initiatives that shape our business and healthcare environments. This will require a good understanding of molecule and disease area strategies, healthcare environments, as well as strong scientific and technical data science expertise. You will need strong strategic, collaboration and communication skills, as well as an entrepreneurial mindset, to transform the way we use data and analytics to develop and deliver medicines for our patients.As Senior Data Scientist you will typically be expected to contribute to the molecule/disease area for multiple or complex projects with minimal supervision. You will contribute to the development of new concepts, techniques, and standards.We will look to you as a positive role model for peers and you will coach colleagues to improve in their role with both technical and interpersonal skills.ResponsibilitiesData ScientistIDENTIFY EVIDENCE NEEDS & RECOMMEND DATA SOLUTIONS Ask the right scientific questions, understand the evidence needs for research and development, regulatory and market access, and ideate and make recommendations on fit-for-purpose data and analytics solutions.DEVELOP DATA STRATEGY & GAIN ACCESS TO DATADevelop strategic plans to access fit-for-purpose data sources to support evidence generation, and gain access to data through collaboration or data generation.DIVE INTO DATA Develop a comprehensive and deep understanding of the data we work with and foster learning with colleagues using analytical tools and applications to broaden data accessibility and advance our proficiency/efficiency in understanding and using the data appropriately.BE AN EXPERT IN APPLYING METHODS Stay current with and adopt emergent analytical methodologies, tools and applications to ensure fit-for-purpose and impactful approaches.PRODUCE HIGH QUALITY ANALYSES Apply rigor in study design and analytical methods; plan for data processing; design a fit-for-purpose analysis plan, assess effective ways of presenting and delivering the results to maximize impact and interpretability; implement and/or oversee the study, including its reporting; ensure compliance with applicable pharma industry regulations and standards.INTERPRET AND SHARE RESULTS Communicate findings to internal stakeholders, regulatory, health technology assessment (HTA) bodies and scientific communities; publish results; participate in external meetings and forums to present your insights (e.g. congress/conference).COLLABORATE & SHAPE Collaborate and contribute to functional, cross-functional, enterprise-wide or external data science communities, networks, collaboratives, initiatives or goals on knowledge-sharing, methodologies, innovations, technology, IT infrastructure, policy-shaping, processes, etc. to enable broader and more effective use of data and analytics to support business. Minimum QualificationsData ScientistMSc, PhD or similar qualification in a quantitative data science discipline (e.g., statistics/ biostatistics, epidemiology, bioinformatics, health economics, computational biology, computer science, mathematics, outcomes research, public health, biology, medicine, psychology)Demonstrated track record of developing and execution of data science research projects, patient-level data analyses (e.g., real world data, surveys, clinical trials, registries, claims, genomic or imaging data) with publications and presentationsDemonstrated experience with managing project scope and driving delivery in an evolving environment requiring proactivity and effective problem-solving and prioritization when faced with challengesDemonstrated strong collaboration skills and excellent communication skillsDemonstrated entrepreneurial mindset and self-direction, ability to teach others and willingness to learn new techniquesProficiency in English, both written and verbalTrack record of effectively working in a matrix environment with global, international team members coming from scientific, business and operational backgrounds, using influence without authorityPreferred/Additional QualificationsPhD degree in a quantitative or health sciences discipline as listed in Minimum Qualifications6+ years of relevant work experienceProven ability to translate and communicate complex study design and findings to diverse audiencesWho We AreA member of the Roche Group, Genentech has been at the forefront of the biotechnology industry for more than 40 years, using human genetic information to develop novel medicines for serious and life-threatening diseases. Genentech has multiple therapies on the market for cancer & other serious illnesses. Please take this opportunity to learn about Genentech where we believe that our employees are our most important asset & are dedicated to remaining a great place to work.The next step is yours. To apply today, click on the ""Apply online"" button.Genentech is an equal opportunity employer & prohibits unlawful discrimination based on race, color, religion, gender, sexual orientation, gender identity/expression, national origin/ancestry, age, disability, marital & veteran status. For more information about equal employment opportunity, visit our Genentech Careers page.At Genentech, we share salary ranges with applicants during the recruiting process, if requested. Third party salary estimates may not be accurate or up-to-date.",Entry level,Full-time,"

              Engineering
 

              Information Technology
 
"
4,Senior Data Scientist,Porsche,"San Jose, CA, US","Information,Technology,Services,Automotive,Financial,Services","When it's time to reflect on the path you've travelled,you'll be glad you chose the right vehicle.We Are Looking For You AsSenior Data Scientist Code number: PCNA-D-100002-E Entry level: Professionals Location: San Jose Organization: Porsche Cars North AmericaTasks Analyze and combine (customer-) data from different sources g. vehicle, smartphones, websites, social-feeds and company CRM- databases to drive the development of new so far non existing products and services and help to optimize and improve existing customer facing products and business strategies. Collaborate closely with internal ""subject matter experts"" e.g. (vehicle-) engineers, product-owners, product-marketing, etc. to help understand the potential of smart data-analytics for internal product-improvement as well as new data-driven customer-solutions. This includes working with stakeholders throughout the organization to identify relevant data-points that can be leveraged to improve the (digital) customer experience. Work together with internal counterparts to establish a new (cloud based) data-architecture that enables the development and implementation of new and unique data models and algorithms as well as machine learning capabilities to facilitate new digital products and services. Use predictive modeling to generate entirely new customer experiences and help optimize revenue generation, ad-targeting and other business outcomes. Develop processes and tools to monitor and analyze model performance and data accuracy & assess the effectiveness and accuracy of new data sources and data gathering techniques.Qualifications Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) Experience working with and creating data architectures Strong problem solving skills with an emphasis on product development. Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks. Extensive background in data mining and statistical analysis Able to understand various data structures and common methods in data transformation Excellent pattern recognition and predictive modeling skills Ability to identify (and verify with data) new opportunities by combing business, customer & product information and being able to transfer technical knowledge & insights into business valueContactApply here: https://career8.successfactors.com/sfcareer/jobreqcareer?jobId=5902&company=porschecar&username=SDL2017",Entry level,Full-time,"

              Engineering
 

              Information Technology
 
"
0,Data Analyst - San Diego,Veyo,"San Diego, CA, US","Information,Technology,Services,Computer,Software,Hospital,&,Health,Care","Veyo is using its platform and app-based transportation services to reinvent the medical logistics world. Our company is using technology to pioneer new operational models to help make transportation more powerful and more reliable for the healthcare industry.When you work at Veyo, you’re helping to solve one of the nation’s growing healthcare challenges -- ensuring patients get to and from their medical appointments, safely and on-time. We are using smart design and innovative technology to make patient transportation safer and more connected. In the process, we’re transforming the entire industry.Primary Responsibilities Product Analytics: Work with our product management team on product analytics; identifying the business metrics the product will impact and measuring the product’s impact before and after product releases.Business Analytics: Work with our Operations and executive teams to create easy-to-use reports and analytics to untangle ambiguous business problems and find the insights that drive operational excellence.Client Reporting: Work with our Operations team to create client facing reports used by healthcare providers, passengers and drivers.Problem Solving: Write queries and perform ad hoc data analysis to keep the nerve center of our operations engine running at full speed; using your analytics skills to help dig into different business problems, offer solutions and make data driven decisions. Our ideal candidates will have some or all of the following:2+ years of work experience developing a best-in-class understanding of databases, data relationships and data integrity.BS in Math, Physics, CS, Statistics, Economics or other quantitative field is required, MS preferred.Comfortable and experienced working with large data sets.Expert SQL experience.Experienced in data analytics and visualization using R, Tableau or similar BI tools.Data analysis skills in a business context with demonstrated success in presenting large data sets in a clear and compelling manner that inspires action.Development experience in designing and delivering end-to-end data warehousing/business intelligence solutions.Strong oral and written communication skills; extremely attentive to detail.We like the following personality traits: Friendly, social, outgoing, positive, passionate, cool under pressure, detail-oriented, deadline oriented, quick learner, multi-tasker, great sense of humor.We’re looking for people that love the opportunity to be involved in strategy and management at the top level, but also aren’t scared to get their hands dirty and do what needs to be done to make things happen! We move quickly, and our team doesn’t know the meaning of “not my job.” We want people that want to get things done and can check their ego at the door.We thank all applicants for their interest and effort in applying for this position. This position is only for candidates legally allowed to work in the US. EOE.Veyo is proud to be an Equal Employment Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. Additionally, Veyo participates in the E-Verify program for all locations.",Associate,Full-time,"

              Information Technology
 
"
1,DATA SCIENTIST-Predictive Modeling (Contract to Hire),Harnham,"San Mateo County, CA, US","Marketing,Advertising,Computer,Software,Internet","DATA SCIENTIST-Predictive Modeling (Contract to Hire)San Mateo, CA$110,000-$130,000The CompanyA leading privately-held investment firm is looking to add a data scientist to their marketing team. This firm works with many high-net-worth clients and leading institutions. Their culture is incredibly collaborative and promotes a performance-based culture for career advancement.THE ROLEThis is a great opportunity for a skilled predictive modeler to join a leading investment management firm. The role will be on contract through January 1st, at which point it will very likely convert to a full-time position.Build predictive models in RDevelop a method to score leads based on their likelihood to respond to marketing campaignsWorking closely with the marketing team as well as other analystsFocus on optimizing and analyzing direct mail and email campaignsAbout YouMinimum of three years' experience building predictive models with RSQL expertExposure to marketing analyticsExperience with email campaigns and direct mail analyticsExposure to the finance industry is a plusAbility to communicate clearly with non-technical stakeholdersHow To ApplyPlease register your interest by sending your CV to Sonia Manssen via the Apply link on this page.KeywordsMarketing Analytics | SQL | Statistics | R | email | direct mail | lead scoring | Regression Modeling",Entry level,Full-time,"

              Engineering
 

              Information Technology
 
"
